"id","thread_id","title","content","status","link","created_at","updated_at","order","metadata"
13,56,"Unveiling the Vulnerabilities in Wireless Mobile Data Exchange","In today’s fast-paced digital era, the convenience of wireless mobile data exchange has revolutionized the way we communicate and access information.",True,"https://cybersuraksa.medium.com/unveiling-the-vulnerabilities-in-wireless-mobile-data-exchange-41daf7e1ee7d","2025-01-25 12:05:51","2025-01-25 12:05:51",1,"{""icon"": ""bi-cloud-upload""}"
14,56,"Importance of cybersecurity around mobile","We are invaded by cyberattacks, digital hijackings and ransonware, terms that a few years ago still sounded like action, fiction or spy movies to us. Did you know that many of these vulnerabilities and risks travel with us in the palm of our hand?",True,"https://a3sec.com/en/blog/importance-of-cybersecurity-around-mobile?utm_source=chatgpt.com","2025-01-25 12:12:58","2025-01-25 12:12:58",1,"{""icon"": ""bi-file-lock""}"
17,57,"What does ""phishing"" refer to?",NULL,True,NULL,"2025-02-03 14:12:15","2025-02-04 00:48:14",1,"{""answer"": ""a"", ""choices"": {""a"": ""A sport where hackers try to catch passwords instead of fish"", ""b"": ""A virus that makes your computer smell like tuna"", ""c"": ""A type of firewall that only works underwater"", ""d"": ""A security software designed by a band from the '90s""}}"
18,57,"Which of these is a strong password?",NULL,True,NULL,"2025-02-03 23:26:08","2025-02-03 23:26:08",1,"{""answer"": ""c"", ""choices"": {""a"": ""123456789 (No one would ever guess something so obvious, right?)"", ""b"": ""Password123 (It has numbers, so it must be good!)"", ""c"": ""Xy9!$mQb72* (Your keyboard just had a workout.)"", ""d"": ""Your pet’s name + birth year (Fluffy2015—unstoppable!)""}}"
19,57,"What does a VPN do?",NULL,True,NULL,"2025-02-03 23:27:38","2025-02-03 23:27:38",1,"{""answer"": ""a"", ""choices"": {""a"": ""Hides your IP address and encrypts your internet traffic"", ""b"": ""Makes your Wi-Fi signal stronger"", ""c"": ""Lets you see into the \""dark web\"" like a hacker spy"", ""d"": ""Automatically generates cat memes while you browse""}}"
20,57,"What is ""two-factor authentication"" (2FA)?",NULL,True,NULL,"2025-02-03 23:30:41","2025-02-04 00:42:53",1,"{""answer"": ""a"", ""choices"": {""a"": ""Logging in twice just to be extra sure"", ""b"": ""A way to verify your identity using two different methods"", ""c"": ""When your computer asks if you're really sure you want to continue"", ""d"": ""A sequel to One-Factor Authentication that nobody asked for""}}"
21,57,"What does a firewall do?",NULL,True,NULL,"2025-02-04 00:49:27","2025-02-04 00:49:27",1,"{""answer"": ""a"", ""choices"": {""a"": ""Blocks unauthorized access to a network"", ""b"": ""Sets hackers' keyboards on fire when they try to break in"", ""c"": ""Stops viruses by spraying them with digital water"", ""d"": ""Allows only really good hackers to get through""}}"
22,57,"What is ""ransomware""?",NULL,True,NULL,"2025-02-04 00:56:23","2025-02-04 00:56:23",1,"{""answer"": ""a"", ""choices"": {""a"": ""A type of malware that locks your files until you pay a ransom"", ""b"": ""A computer program that helps locate kidnapped data"", ""c"": ""A game where hackers role-play as pirates"", ""d"": ""A new form of online shopping that requires a treasure hunt""}}"
23,57,"What is ""social engineering"" in cybersecurity?",NULL,True,NULL,"2025-02-05 01:20:20","2025-02-05 01:20:20",1,"{""answer"": ""b"", ""choices"": {""a"": ""A way to build a friendly internet community"", ""b"": ""Hacking people instead of computers by tricking them into giving information"", ""c"": ""Using AI to design cybersecurity software"", ""d"": ""Making sure all engineers have social skills""}}"
24,57,"What is a brute force attack?",NULL,True,NULL,"2025-02-05 01:21:38","2025-02-05 01:21:38",1,"{""answer"": ""d"", ""choices"": {""a"": ""The reason why IT people cry at night"", ""b"": ""A cyber ninja move only the best hackers can perform"", ""c"": ""A feature that lets you bypass CAPTCHA"", ""d"": ""A hacker using trial and error to guess passwords""}}"
